EmployeeID,NIK,orighiredate_key,department_name,job_title,BUSINESS_UNIT
1773,3203061206510001,12/12/1990,Meats,Meat Cutter,STORES
1774,6209011406510010,12/13/1990,Processed Foods,Processed Foods Manager,STORES
1775,8101121506510013,12/13/1990,Processed Foods,Processed Foods Manager,STORES
1776,5319071806510012,12/15/1990,Customer Service,Customer Service Manager,STORES
1777,1225015806510015,12/15/1990,Meats,Meat Cutter,STORES
1779,7104066706510014,12/20/1990,Dairy,Dairy Person,STORES
1786,1204064707510016,12/25/1990,Produce,Produce Manager,STORES
1790,5207055707510018,12/30/1990,Meats,Meat Cutter,STORES
1791,6305021707510016,12/30/1990,Meats,Meat Cutter,STORES
1793,9114361907510019,12/31/1990,Produce,Produce Manager,STORES
1794,3210082107510003,1/1/1991,Customer Service,Customer Service Manager,STORES
1800,6302144408510006,1/9/1991,Meats,Meat Cutter,STORES
1801,1803215208510016,1/13/1991,Meats,Meats Manager,STORES
1802,8203205608510012,1/15/1991,Processed Foods,Processed Foods Manager,STORES
1803,1310035708510018,1/15/1991,Meats,Meat Cutter,STORES
1804,7605066008510006,1/17/1991,Meats,Meat Cutter,STORES
1806,1206086308510003,1/19/1991,Customer Service,Customer Service Manager,STORES
1808,1508166508510002,1/20/1991,Meats,Meat Cutter,STORES
1810,3310026808510017,1/21/1991,Meats,Meat Cutter,STORES
1811,9123120109510015,1/23/1991,Meats,Meat Cutter,STORES
1812,3522074209510016,1/24/1991,Meats,Meat Cutter,STORES
1814,9103194909510004,1/28/1991,Meats,Meat Cutter,STORES
1816,3204401709510007,2/1/1991,Meats,Meat Cutter,STORES
1817,3320041909510007,2/2/1991,Produce,Produce Manager,STORES
1820,3206026509510016,2/5/1991,Meats,Meat Cutter,STORES
1825,1211134910510014,2/12/1991,Meats,Meat Cutter,STORES
1827,1305045210510007,2/14/1991,Meats,Meats Manager,STORES
1829,9124021310510011,2/15/1991,Processed Foods,Processed Foods Manager,STORES
1830,3322131310510013,2/15/1991,Meats,Meat Cutter,STORES
1831,1806161510510017,2/16/1991,Meats,Meat Cutter,STORES
1834,3311102810510010,2/23/1991,Meats,Meats Manager,STORES
1835,3524253010510014,2/24/1991,Meats,Meat Cutter,STORES
1836,1308183010510010,2/24/1991,Meats,Meat Cutter,STORES
1839,1705084411510015,2/26/1991,Meats,Meat Cutter,STORES
1840,5202100311510013,2/26/1991,Meats,Meat Cutter,STORES
1841,7316064611510014,2/27/1991,Meats,Meat Cutter,STORES
1844,1116045111510003,3/2/1991,Meats,Meat Cutter,STORES
1845,7309091411510010,3/3/1991,Meats,Meat Cutter,STORES
1846,6308011411510004,3/3/1991,Meats,Meat Cutter,STORES
1848,6110021811510016,3/6/1991,Meats,Meat Cutter,STORES
1849,1101126311510017,3/8/1991,Meats,Meat Cutter,STORES
1850,3204342511510013,3/9/1991,Meats,Meat Cutter,STORES
1851,1404102411510003,3/9/1991,Meats,Meat Cutter,STORES
1852,9116102611510003,3/10/1991,Customer Service,Customer Service Manager,STORES
1853,7504076611510005,3/10/1991,Meats,Meat Cutter,STORES
1855,7405244312510012,3/14/1991,Meats,Meat Cutter,STORES
1856,1404114712510005,3/16/1991,Meats,Meat Cutter,STORES
1857,3513244812510009,3/16/1991,Dairy,Dairy Person,STORES
1858,2101041012510001,3/17/1991,Meats,Meat Cutter,STORES
1860,1115091512510019,3/20/1991,Meats,Meat Cutter,STORES
1862,6411036012510006,3/22/1991,Meats,Meat Cutter,STORES
1864,9102636312510017,3/24/1991,Meats,Meat Cutter,STORES
1865,8208052412510013,3/25/1991,Meats,Meat Cutter,STORES
1866,1871122512510008,3/25/1991,Meats,Meat Cutter,STORES
1868,3201012912510009,3/27/1991,Meats,Meat Cutter,STORES
1869,3310193112510006,3/28/1991,Bakery,Bakery Manager,STORES
1870,5305040101520018,3/29/1991,Meats,Meat Cutter,STORES
1871,9107034701520011,4/1/1991,Meats,Meat Cutter,STORES
1873,7411045301520016,4/4/1991,Produce,Produce Manager,STORES
1875,6211076001520008,4/8/1991,Meats,Meat Cutter,STORES
1876,3207116601520019,4/11/1991,Meats,Meat Cutter,STORES
1877,1274046701520009,4/12/1991,Meats,Meat Cutter,STORES
1878,9102016701520006,4/12/1991,Meats,Meat Cutter,STORES
1879,5302022701520005,4/12/1991,Meats,Meat Cutter,STORES
1880,3526014102520002,4/14/1991,Meats,Meat Cutter,STORES
1881,7104097101520012,4/14/1991,Meats,Meat Cutter,STORES
1882,7308054302520005,4/15/1991,Meats,Meat Cutter,STORES
1884,3214050602520010,4/17/1991,Meats,Meat Cutter,STORES
1888,1305165202520015,4/20/1991,Meats,Meat Cutter,STORES
1892,3305232602520016,4/27/1991,Meats,Meat Cutter,STORES
1895,1310064103520007,4/29/1991,Meats,Meat Cutter,STORES
1896,3209144103520001,4/29/1991,Meats,Meat Cutter,STORES
1898,3517030703520007,5/2/1991,Bakery,Bakery Manager,STORES
1899,1224055103520004,5/4/1991,Produce,Produce Manager,STORES
1900,1309105203520008,5/5/1991,Meats,Meat Cutter,STORES
1901,1273035503520012,5/6/1991,Meats,Meat Cutter,STORES
1902,7601035603520016,5/7/1991,Meats,Meat Cutter,STORES
1905,8106015903520012,5/8/1991,Meats,Meat Cutter,STORES
1906,7315046003520017,5/9/1991,Meats,Meat Cutter,STORES
1907,3305232103520003,5/10/1991,Meats,Meat Cutter,STORES
1908,7415022103520007,5/10/1991,Processed Foods,Processed Foods Manager,STORES
1909,1503082403520006,5/11/1991,Meats,Meat Cutter,STORES
1910,9207046603520014,5/12/1991,Bakery,Bakery Manager,STORES
1911,1312052803520002,5/13/1991,Dairy,Dairy Person,STORES
1915,1607144304520011,5/16/1991,Meats,Meat Cutter,STORES
1916,1702094204520016,5/16/1991,Meats,Meat Cutter,STORES
1919,1810051304520005,5/22/1991,Meats,Meat Cutter,STORES
1921,1607046104520012,5/26/1991,Meats,Meat Cutter,STORES
1922,6212066604520016,5/29/1991,Meats,Meat Cutter,STORES
1923,9205042604520001,5/29/1991,Dairy,Dairy Person,STORES
1924,1209132904520015,5/30/1991,Produce,Produce Manager,STORES
1926,3212027004520013,5/31/1991,Meats,Meat Cutter,STORES
1927,1277034205520017,6/1/1991,Meats,Meat Cutter,STORES
1928,3518150505520016,6/2/1991,Meats,Meat Cutter,STORES
1929,1221040905520004,6/4/1991,Meats,Meat Cutter,STORES
1931,1106131005520018,6/5/1991,Meats,Meat Cutter,STORES
1932,1508125005520009,6/5/1991,Meats,Meat Cutter,STORES
1934,9118041305520013,6/7/1991,Meats,Meat Cutter,STORES
1937,1205186405520001,6/12/1991,Meats,Meat Cutter,STORES
1938,7309126305520007,6/12/1991,Meats,Meat Cutter,STORES
1942,1809107105520011,6/16/1991,Bakery,Bakery Manager,STORES
1944,7271050506520004,6/19/1991,Meats,Meat Cutter,STORES
1945,6408125006520014,6/21/1991,Meats,Meat Cutter,STORES
1946,5311041406520015,6/23/1991,Meats,Meat Cutter,STORES
1948,5310180107520014,7/2/1991,Meats,Meat Cutter,STORES
1953,3303064807520004,7/6/1991,Meats,Meat Cutter,STORES
1954,7104135207520016,7/8/1991,Meats,Meat Cutter,STORES
1955,1504041107520008,7/8/1991,Meats,Meat Cutter,STORES
1956,1209101307520015,7/9/1991,Meats,Meat Cutter,STORES
1959,8108106307520014,7/14/1991,Meats,Meat Cutter,STORES
1960,1506066607520018,7/16/1991,Meats,Meat Cutter,STORES
1961,3218012607520002,7/16/1991,Meats,Meat Cutter,STORES
1963,3202460208520009,7/19/1991,Bakery,Bakery Manager,STORES
1964,6106150208520010,7/19/1991,Meats,Meat Cutter,STORES
1965,3520110408520010,7/20/1991,Produce,Produce Manager,STORES
1970,1612055008520009,7/24/1991,Meats,Meat Cutter,STORES
1971,9210205108520012,7/24/1991,Meats,Meat Cutter,STORES
1972,1801165008520006,7/24/1991,Meats,Meat Cutter,STORES
1973,3523131008520008,7/24/1991,Meats,Meat Cutter,STORES
1975,3301115708520005,7/27/1991,Bakery,Bakery Manager,STORES
1977,1274061708520010,7/27/1991,Meats,Meat Cutter,STORES
1978,7411115808520013,7/28/1991,Processed Foods,Processed Foods Manager,STORES
1979,3601081908520016,7/28/1991,Meats,Meat Cutter,STORES
1980,3507026108520012,7/29/1991,Meats,Meat Cutter,STORES
1985,7408097008520003,8/3/1991,Meats,Meat Cutter,STORES
1987,8271022908520007,8/3/1991,Dairy,Dairy Person,STORES
1988,6108046908520010,8/3/1991,Meats,Meat Cutter,STORES
1990,3506190109520018,8/4/1991,Meats,Meat Cutter,STORES
1992,9206140809520005,8/8/1991,Produce,Produce Clerk,STORES
1993,1225011109520002,8/9/1991,Dairy,Dairy Person,STORES
1994,6171051009520008,8/9/1991,Produce,Produce Clerk,STORES
1995,9114271609520010,8/12/1991,Meats,Meat Cutter,STORES
1996,9113091609520011,8/12/1991,Produce,Produce Clerk,STORES
2003,6402170710520011,8/23/1991,Processed Foods,Processed Foods Manager,STORES
2004,9112255410520005,8/27/1991,Customer Service,Customer Service Manager,STORES
2005,1572055610520007,8/28/1991,Meats,Meat Cutter,STORES
2008,6503186310520005,9/1/1991,Meats,Meat Cutter,STORES
2009,3509282510520008,9/2/1991,Meats,Meat Cutter,STORES
2011,7406136910520004,9/4/1991,Meats,Meat Cutter,STORES
2014,9113490511520015,9/7/1991,Meats,Meat Cutter,STORES
2015,1214234611520010,9/8/1991,Meats,Meat Cutter,STORES
2016,9124041011520001,9/10/1991,Customer Service,Customer Service Manager,STORES
2018,1301085111520005,9/11/1991,Meats,Meat Cutter,STORES
2021,3211126211520019,9/16/1991,Meats,Meat Cutter,STORES
2022,6101016111520008,9/16/1991,Meats,Meat Cutter,STORES
2024,3313043011520007,9/21/1991,Produce,Produce Clerk,STORES
2030,6202116012520011,10/1/1991,Meats,Meat Cutter,STORES
2034,3322022812520002,10/5/1991,Meats,Meat Cutter,STORES
2036,1205133112520013,10/7/1991,Meats,Meat Cutter,STORES
2039,3307085001530010,10/12/1991,Meats,Meat Cutter,STORES
2040,3401090901530014,10/12/1991,Customer Service,Customer Service Manager,STORES
2044,1212051301530017,10/14/1991,Produce,Produce Clerk,STORES
2046,3602251801530009,10/17/1991,Meats,Meat Cutter,STORES
2047,6111016101530010,10/18/1991,Produce,Produce Clerk,STORES
2048,3502102001530011,10/18/1991,Produce,Produce Clerk,STORES
2049,7104166401530011,10/20/1991,Meats,Meat Cutter,STORES
2053,1106120102530006,10/24/1991,Processed Foods,Processed Foods Manager,STORES
2055,9117130802530015,10/28/1991,Meats,Meat Cutter,STORES
2056,1706061202530017,10/30/1991,Meats,Meat Cutter,STORES
2058,3308075402530008,10/31/1991,Produce,Produce Clerk,STORES
2060,3512171402530009,10/31/1991,Produce,Produce Clerk,STORES
2061,7503171602530007,11/1/1991,Meats,Meat Cutter,STORES
2063,3524145902530012,11/2/1991,Meats,Meat Cutter,STORES
2065,6104166102530007,11/4/1991,Meats,Meat Cutter,STORES
2067,7371022702530001,11/7/1991,Meats,Meat Cutter,STORES
2068,5207032702530004,11/7/1991,Produce,Produce Clerk,STORES
2070,1205020703530016,11/11/1991,Produce,Produce Clerk,STORES
2071,3206384603530004,11/11/1991,Meats,Meat Cutter,STORES
2073,9209084803530014,11/12/1991,Meats,Meat Cutter,STORES
2074,6474031003530010,11/13/1991,Meats,Meat Cutter,STORES
2075,1801135403530003,11/15/1991,Produce,Produce Clerk,STORES
2076,3208075503530011,11/16/1991,Customer Service,Customer Service Manager,STORES
2077,9106175703530005,11/17/1991,Produce,Produce Clerk,STORES
2080,9107276003530007,11/18/1991,Meats,Meat Cutter,STORES
2081,5319026103530014,11/19/1991,Meats,Meat Cutter,STORES
2082,7104132603530007,11/21/1991,Meats,Meat Cutter,STORES
2084,3505156903530013,11/23/1991,Meats,Meat Cutter,STORES
2085,1605113103530015,11/24/1991,Meats,Meat Cutter,STORES
2086,6306084204530014,11/25/1991,Meats,Meat Cutter,STORES
2088,1105120204530009,11/25/1991,Customer Service,Customer Service Manager,STORES
2089,9126050304530016,11/26/1991,Meats,Meat Cutter,STORES
2090,3314010704530004,11/28/1991,Meats,Meat Cutter,STORES
2091,3278035104530008,11/30/1991,Meats,Meat Cutter,STORES
2093,3201382004530018,12/5/1991,Processed Foods,Processed Foods Manager,STORES
2094,3208146504530004,12/7/1991,Meats,Meat Cutter,STORES
2095,3528106704530005,12/8/1991,Produce,Produce Clerk,STORES
2096,1307116804530002,12/9/1991,Produce,Produce Clerk,STORES
2100,7503044505530011,12/13/1991,Meats,Meat Cutter,STORES
2101,1806241205530004,12/16/1991,Meats,Meat Cutter,STORES
2105,6407125705530009,12/19/1991,Produce,Produce Clerk,STORES
2108,3204326405530010,12/23/1991,Produce,Produce Clerk,STORES
2110,6212032905530012,12/25/1991,Produce,Produce Clerk,STORES
2111,3321032905530019,12/25/1991,Produce,Produce Clerk,STORES
2112,3213134206530012,12/27/1991,Dairy,Dairy Person,STORES
2113,9206134406530014,12/28/1991,Meats,Meat Cutter,STORES
2114,1224084406530010,12/28/1991,Bakery,Bakery Manager,STORES
2115,1807010706530004,12/30/1991,Produce,Produce Clerk,STORES
2116,6503095106530015,1/1/1992,Meats,Meat Cutter,STORES
2117,1209171206530016,1/2/1992,Bakery,Bakery Manager,STORES
2118,3309115206530003,1/2/1992,Meats,Meat Cutter,STORES
2119,1304055606530011,1/4/1992,Meats,Meat Cutter,STORES
2120,1214231906530017,1/5/1992,Meats,Meats Manager,STORES
2122,1707062106530015,1/6/1992,Produce,Produce Clerk,STORES
2123,9125036306530018,1/7/1992,Meats,Meat Cutter,STORES
2125,3210132606530017,1/9/1992,Meats,Meat Cutter,STORES
2126,3202202506530013,1/9/1992,Dairy,Dairy Person,STORES
2130,7111070307530006,1/13/1992,Meats,Meat Cutter,STORES
2131,6107134407530012,1/13/1992,Meats,Meat Cutter,STORES
2132,1611094607530014,1/14/1992,Meats,Meat Cutter,STORES
2134,3329080907530006,1/16/1992,Produce,Produce Clerk,STORES
2142,3301082307530012,1/23/1992,Meats,Meat Cutter,STORES
2143,6311072507530015,1/24/1992,Meats,Meat Cutter,STORES
2145,1805123107530008,1/28/1992,Meats,Meat Cutter,STORES
2146,2101130608530012,1/31/1992,Produce,Produce Clerk,STORES
2148,3601180808530008,2/1/1992,Meats,Meat Cutter,STORES
2149,7304094808530009,2/1/1992,Produce,Produce Clerk,STORES
2152,7601101308530005,2/3/1992,Produce,Produce Clerk,STORES
2153,1806161208530008,2/3/1992,Meats,Meat Cutter,STORES
2154,1410075408530007,2/4/1992,Meats,Meat Cutter,STORES
2155,3501115608530001,2/5/1992,Meats,Meat Cutter,STORES
2156,1307011808530018,2/6/1992,Meats,Meat Cutter,STORES
2159,3310166708530013,2/11/1992,Meats,Meat Cutter,STORES
2161,1771040409530002,2/15/1992,Processed Foods,Processed Foods Manager,STORES
2162,1406070809530009,2/17/1992,Dairy,Dairy Person,STORES
2165,1807181709530015,2/22/1992,Meats,Meat Cutter,STORES
2166,1171091809530004,2/22/1992,Meats,Meat Cutter,STORES
2169,3515176509530012,2/26/1992,Meats,Meat Cutter,STORES
2170,9113162409530012,2/26/1992,Produce,Produce Clerk,STORES
2172,1508046609530014,2/27/1992,Processed Foods,Processed Foods Manager,STORES
2173,5302272609530015,2/27/1992,Produce,Produce Clerk,STORES
2177,3673010610530013,3/3/1992,Produce,Produce Clerk,STORES
2178,3527104610530011,3/3/1992,Meats,Meat Cutter,STORES
2179,3515024610530010,3/3/1992,Meats,Meat Cutter,STORES
2180,1603020910530015,3/4/1992,Meats,Meat Cutter,STORES
2181,3506201010530006,3/5/1992,Meats,Meat Cutter,STORES
2183,5311025210530010,3/6/1992,Meats,Meat Cutter,STORES
2187,1809091510530005,3/8/1992,Processed Foods,Processed Foods Manager,STORES
2188,7604056010530007,3/10/1992,Meats,Meat Cutter,STORES
2189,1702086210530008,3/11/1992,Meats,Meat Cutter,STORES
2190,7211042210530013,3/11/1992,Meats,Meat Cutter,STORES
2192,3302142610530002,3/13/1992,Produce,Produce Clerk,STORES
2194,6303156910530009,3/15/1992,Meats,Meat Cutter,STORES
2195,1707037010530005,3/16/1992,Meats,Meat Cutter,STORES
2201,9126094811530002,3/20/1992,Meats,Meat Cutter,STORES
2202,1213215211530014,3/22/1992,Meats,Meat Cutter,STORES
2203,1216075311530010,3/23/1992,Produce,Produce Clerk,STORES
2204,7604035311530016,3/23/1992,Bakery,Baker,STORES
2205,9123325411530019,3/24/1992,Bakery,Baker,STORES
2206,6203061411530002,3/24/1992,Meats,Meat Cutter,STORES
2207,7206055411530002,3/24/1992,Bakery,Baker,STORES
2210,3273202211530001,3/28/1992,Meats,Meat Cutter,STORES
2211,3213256211530004,3/28/1992,Meats,Meat Cutter,STORES
2213,6106036511530013,3/29/1992,Bakery,Baker,STORES
2214,9110156511530004,3/29/1992,Meats,Meat Cutter,STORES
2215,3403144212530003,4/2/1992,Bakery,Baker,STORES
2217,3322184512530019,4/4/1992,Meats,Meat Cutter,STORES
2218,1602195012530009,4/6/1992,Bakery,Baker,STORES
2219,3510124912530017,4/6/1992,Meats,Meat Cutter,STORES
2221,3306115312530016,4/8/1992,Bakery,Baker,STORES
2222,1407051512530019,4/9/1992,Bakery,Baker,STORES
2223,7405055612530005,4/9/1992,Meats,Meat Cutter,STORES
2225,3529102712530019,4/15/1992,Meats,Meat Cutter,STORES
2226,1103093112530013,4/17/1992,Bakery,Baker,STORES
2229,5318051001540006,4/23/1992,Bakery,Baker,STORES
2230,3209191301540002,4/24/1992,Meats,Meat Cutter,STORES
2231,9210211201540014,4/24/1992,Bakery,Baker,STORES
2232,1607166401540019,4/30/1992,Meats,Meat Cutter,STORES
2235,3205126701540019,5/2/1992,Bakery,Baker,STORES
2236,5308072901540011,5/3/1992,Meats,Meat Cutter,STORES
2237,3173013101540018,5/4/1992,Customer Service,Customer Service Manager,STORES
2238,1407130202540005,5/5/1992,Meats,Meat Cutter,STORES
2240,3206144502540005,5/6/1992,Meats,Meat Cutter,STORES
2241,1271164702540006,5/7/1992,Meats,Meat Cutter,STORES
2242,6106231002540015,5/9/1992,Meats,Meat Cutter,STORES
2243,3212115102540012,5/9/1992,Meats,Meat Cutter,STORES
2245,9102671902540017,5/14/1992,Meats,Meat Cutter,STORES
2246,6304122402540002,5/16/1992,Bakery,Baker,STORES
2247,1906014103540004,5/19/1992,Produce,Produce Manager,STORES
2248,7306150103540004,5/19/1992,Meats,Meat Cutter,STORES
2250,1171054503540018,5/21/1992,Bakery,Baker,STORES
2251,3210150503540011,5/21/1992,Meats,Meat Cutter,STORES
2252,9123084703540017,5/22/1992,Bakery,Baker,STORES
2253,7173020603540016,5/22/1992,Meats,Meat Cutter,STORES
2254,3302114803540005,5/23/1992,Meats,Meat Cutter,STORES
2255,3278030803540017,5/23/1992,Customer Service,Customer Service Manager,STORES
2256,3507145103540008,5/24/1992,Meats,Meat Cutter,STORES
2257,5106015603540005,5/27/1992,Bakery,Baker,STORES
2259,6112046203540002,5/30/1992,Produce,Produce Clerk,STORES
2260,3310206203540016,5/30/1992,Meats,Meat Cutter,STORES
2261,1610126403540004,5/31/1992,Meats,Meat Cutter,STORES
2262,3512022803540009,6/2/1992,Meats,Meat Cutter,STORES
2264,3305064204540009,6/5/1992,Meats,Meat Cutter,STORES
2265,3575044304540005,6/5/1992,Meats,Meat Cutter,STORES
2269,1604275204540008,6/10/1992,Customer Service,Customer Service Manager,STORES
2271,1803156004540001,6/14/1992,Meats,Meat Cutter,STORES
2272,9210166004540018,6/14/1992,Meats,Meat Cutter,STORES
2273,8204096204540002,6/15/1992,Bakery,Baker,STORES
2274,1812016104540011,6/15/1992,Produce,Produce Clerk,STORES
2275,3601206804540003,6/19/1992,Meats,Meat Cutter,STORES
2276,3306014105540012,6/20/1992,Bakery,Baker,STORES
2277,8105030305540016,6/21/1992,Meats,Meat Cutter,STORES
2280,6472020905540006,6/24/1992,Meats,Meat Cutter,STORES
2282,1213055105540010,6/25/1992,Meats,Meat Cutter,STORES
2283,3520085105540012,6/25/1992,Meats,Meat Cutter,STORES
2286,7402106005540005,6/30/1992,Meats,Meat Cutter,STORES
2290,1804156905540015,7/5/1992,Meats,Meat Cutter,STORES
2293,3524214206540019,7/7/1992,Bakery,Baker,STORES
2294,3404030406540005,7/8/1992,Bakery,Baker,STORES
2295,7203244806540019,7/10/1992,Meats,Meat Cutter,STORES
2296,7405205106540007,7/12/1992,Meats,Meat Cutter,STORES
2297,5102105206540015,7/12/1992,Meats,Meat Cutter,STORES
2298,7301085206540005,7/12/1992,Produce,Produce Clerk,STORES
2299,6372021306540008,7/13/1992,Meats,Meat Cutter,STORES
2302,5302216206540009,7/18/1992,Bakery,Bakery Manager,STORES
2305,1509023006540001,7/22/1992,Bakery,Baker,STORES
2308,1307081407540019,7/29/1992,Bakery,Baker,STORES
2309,7109041807540003,7/31/1992,Meats,Meat Cutter,STORES
2311,5306102107540006,8/2/1992,Meats,Meat Cutter,STORES
2312,1605036307540008,8/3/1992,Meats,Meat Cutter,STORES
2314,1405126407540011,8/4/1992,Meats,Meat Cutter,STORES
2315,3601236507540016,8/4/1992,Meats,Meat Cutter,STORES
2317,9116186907540001,8/6/1992,Customer Service,Customer Service Manager,STORES
2318,3301122807540003,8/6/1992,Bakery,Baker,STORES
2319,7305107007540007,8/7/1992,Processed Foods,Processed Foods Manager,STORES
2320,5203210208540004,8/8/1992,Meats,Meat Cutter,STORES
2321,3203200408540019,8/9/1992,Meats,Meat Cutter,STORES
2322,3204464408540016,8/9/1992,Bakery,Baker,STORES
2323,1707080408540014,8/9/1992,Meats,Meat Cutter,STORES
2324,3524090308540013,8/9/1992,Meats,Meat Cutter,STORES
2326,3520010608540001,8/10/1992,Meats,Meat Cutter,STORES
2329,6502115508540017,8/15/1992,Meats,Meat Cutter,STORES
2330,1206071408540011,8/15/1992,Bakery,Baker,STORES
2331,3208106108540013,8/18/1992,Meats,Meat Cutter,STORES
2333,9113300109540005,8/24/1992,Meats,Meat Cutter,STORES
2334,6472074109540013,8/24/1992,Processed Foods,Processed Foods Manager,STORES
2335,1502210309540011,8/25/1992,Meats,Meat Cutter,STORES
2339,8204195609540010,9/1/1992,Meats,Meat Cutter,STORES
2341,1702102209540018,9/4/1992,Meats,Meat Cutter,STORES
2343,1214142809540003,9/7/1992,Meats,Meat Cutter,STORES
2344,1205016809540011,9/7/1992,Meats,Meat Cutter,STORES
2347,3218030410540007,9/11/1992,Dairy,Dairy Person,STORES
2349,1871135010540003,9/14/1992,Meats,Meat Cutter,STORES
2351,6206135910540001,9/19/1992,Produce,Produce Clerk,STORES
2352,3213195910540018,9/19/1992,Meats,Meat Cutter,STORES
2354,1171056910540009,9/24/1992,Meats,Meat Cutter,STORES
2355,1307117110540004,9/25/1992,Meats,Meat Cutter,STORES
2356,7406040411540014,9/27/1992,Meats,Meat Cutter,STORES
2357,3174085011540016,9/30/1992,Meats,Meat Cutter,STORES
2358,1402050911540009,9/30/1992,Meats,Meat Cutter,STORES
2359,3308111211540018,10/1/1992,Meats,Meat Cutter,STORES
2362,3520141311540009,10/2/1992,Meats,Meat Cutter,STORES
2363,7503161711540002,10/4/1992,Produce,Produce Clerk,STORES
2364,1572065711540010,10/4/1992,Meats,Meat Cutter,STORES
2366,1801246211540017,10/6/1992,Dairy,Dairy Person,STORES
2367,7305066511540002,10/8/1992,Dairy,Dairy Person,STORES
2368,6205016411540001,10/8/1992,Meats,Meat Cutter,STORES
2370,7317226611540006,10/9/1992,Meats,Meat Cutter,STORES
2371,3672040112540010,10/11/1992,Dairy,Dairy Person,STORES
2372,7305054612540010,10/14/1992,Meats,Meat Cutter,STORES
2373,7405024612540016,10/14/1992,Dairy,Dairy Person,STORES
2374,3672071012540014,10/16/1992,Meats,Meat Cutter,STORES
2376,3525135512540008,10/19/1992,Meats,Meat Cutter,STORES
2377,7406045912540003,10/21/1992,Meats,Meat Cutter,STORES
2378,1807116012540002,10/21/1992,Meats,Meat Cutter,STORES
2379,3205132212540009,10/22/1992,Customer Service,Customer Service Manager,STORES
2381,3601076512540009,10/24/1992,Meats,Meat Cutter,STORES
2382,6302016612540002,10/24/1992,Dairy,Dairy Person,STORES
